PaddleX,ActionX,BallsData
0.2999997,-1,-2.847156:-1.023374
-2.384186E-07,-1,-2.847156:-1.287658
-0.3000001,-1,-2.847156:-1.552039
-0.6,-1,-2.847156:-1.826064
-0.8999999,-1,-2.847156:-2.081059
-1.2,-1,-2.847156:-2.357035
-1.5,-1,-2.847156:-2.628463
-1.8,-1,-2.847156:-2.917519
-2.1,-1,-2.847156:-3.204494
-2.4,-1,
-2.7,-1,
-3,-1,0.8614035:5.93748
-3.299999,-1,0.8614035:5.854588
-3.599999,-1,0.8614035:5.730198
-3.899999,-1,0.8614035:5.694307
-4.199999,0,0.8614035:5.513549
-4.199999,0,0.8614035:5.389236
-4.199999,0,0.8614035:5.25998
-4.199999,0,0.8614035:5.143456
-4.199999,0,0.8614035:5.017209
-4.199999,0,0.8614035:4.868573
-4.199999,0,0.8614035:4.723711
-4.199999,0,0.8614035:4.578903
-4.199999,0,0.8614035:4.450255
-4.199999,1,0.8614035:4.287169
-3.899999,1,0.8614035:4.19164
-3.599999,1,0.8614035:3.981263
-3.299999,1,0.8614035:3.81307
-3,1,0.8614035:3.746362
-2.7,1,0.8614035:3.47607
-2.4,1,0.8614035:3.297177
-2.1,1,0.8614035:3.113576
-1.8,1,0.8614035:2.94819
-1.5,1,0.8614035:2.761001
-1.2,1,0.8614035:2.567224
-0.8999999,1,0.8614035:2.368248
-0.6,1,0.8614035:2.167727
-0.3000001,1,0.8614035:1.964859
-2.384186E-07,0,0.8614035:1.771408
-2.384186E-07,0,0.8614035:1.583464
-2.384186E-07,0,0.8614035:1.469668
-2.384186E-07,0,0.8614035:1.120303
-2.384186E-07,0,0.8614035:0.917591
-2.384186E-07,0,0.8614035:0.6718756
-2.384186E-07,0,0.8614035:0.4396002
-2.384186E-07,0,0.8614035:0.2023008
-2.384186E-07,0,0.8614035:-0.03633457
-2.384186E-07,0,0.8614035:-0.2775064
-2.384186E-07,0,0.8614035:-0.5214858
-2.384186E-07,0,0.8614035:-0.7700107
-2.384186E-07,1,0.8614035:-1.013349
0.2999997,1,0.8614035:-1.253136
